network_id,predio_code,predio_name,organization_id,region,estado
L_3679440895561695239,460855,460855,635570497412661766,Sin asignar,activo
L_3679440895561695241,460848,460848,635570497412661766,Sin asignar,activo
L_3679440895561695243,460880,460880,635570497412661766,Sin asignar,activo
L_3679440895561695246,460708,460708,635570497412661766,Sin asignar,activo
L_3679440895561695248,460773,460773,635570497412661766,Sin asignar,activo
L_3679440895561695251,460825,460825,635570497412661766,Sin asignar,activo
L_3679440895561695252,460136,460136,635570497412661766,Sin asignar,activo
L_3679440895561695253,460743,460743,635570497412661766,Sin asignar,activo
L_3679440895561695255,460852,460852,635570497412661766,Sin asignar,activo
L_3679440895561695256,460750,460750,635570497412661766,Sin asignar,activo
L_3679440895561695258,460595,460595,635570497412661766,Sin asignar,activo
L_3679440895561695259,460847,460847,635570497412661766,Sin asignar,activo
L_3679440895561695260,460594,460594,635570497412661766,Sin asignar,activo
L_3679440895561695261,460842,460842,635570497412661766,Sin asignar,activo
L_3679440895561695262,460644,460644,635570497412661766,Sin asignar,activo
L_3679440895561695263,460642,460642,635570497412661766,Sin asignar,activo
L_3679440895561695264,460121,460121,635570497412661766,Sin asignar,activo
L_3679440895561695269,460605,460605,635570497412661766,Sin asignar,activo
L_3679440895561695270,460776,460776,635570497412661766,Sin asignar,activo
L_3679440895561695271,460778,460778,635570497412661766,Sin asignar,activo
L_3679440895561695272,460781,460781,635570497412661766,Sin asignar,activo
L_3679440895561695273,460774,460774,635570497412661766,Sin asignar,activo
L_3679440895561695274,460775,460775,635570497412661766,Sin asignar,activo
L_3679440895561695275,460626,460626,635570497412661766,Sin asignar,activo
L_3679440895561695276,460323,460323,635570497412661766,Sin asignar,activo
L_3679440895561695277,460769,460769,635570497412661766,Sin asignar,activo
L_3679440895561695278,460641,460641,635570497412661766,Sin asignar,activo
L_3679440895561695279,460181,460181,635570497412661766,Sin asignar,activo
L_3679440895561695284,460028,460028,635570497412661766,Sin asignar,activo
L_3679440895561695288,460782,460782,635570497412661766,Sin asignar,activo
L_3679440895561695290,460783,460783,635570497412661766,Sin asignar,activo
L_3679440895561695292,460785,460785,635570497412661766,Sin asignar,activo
L_3679440895561695293,460813,460813,635570497412661766,Sin asignar,activo
L_3679440895561695294,460672,460672,635570497412661766,Sin asignar,activo
